candidate_start_fy,horizon_months,dimension,segment,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent
2001,96,project_state,DE,2655,380,2655,583927662.0,421616071.9,33663300.0,26942316.62,22,582352662.0,32088300.0,24605566.25,14.312618,13.032052,15.696305,True,5.764978,4.613982,80.034686,4.2252,76.680803
2001,96,project_state,AK,1795,136,1795,682377768.0,519106385.75,29004232.0,18954853.33,4,681713068.0,28339532.0,18243173.16,7.576602,6.440978,8.893418,True,4.250466,2.777765,65.352026,2.676078,64.373587
2001,96,project_state,SD,2724,265,2724,595610016.0,455540053.05,35197034.0,22663981.21,10,594675831.0,34262849.0,21633747.14,9.728341,8.671534,10.898572,True,5.909409,3.805171,64.391736,3.637906,63.140538
2001,96,project_state,WY,1956,126,1956,475992015.0,355317026.1,21662300.0,11348427.85,3,475627015.0,21297300.0,10899824.34,6.441718,5.436873,7.617319,True,4.55098,2.384163,52.387917,2.291675,51.179372
2001,96,project_state,GU,767,49,767,91978288.0,62387032.65,4036983.0,2345987.13,1,91943288.0,4001983.0,2299949.17,6.388527,4.86588,8.345846,True,4.389061,2.550588,58.112386,2.501487,57.470238
2001,96,project_state,VI,229,38,229,36465230.0,27459870.5,3675000.0,3038657.52,0,36465230.0,3675000.0,3038657.52,16.593886,12.334855,21.955198,False,10.078094,8.333027,82.684558,8.333027,82.684558
2001,96,project_state,PW,6,1,6,225000.0,138750.0,50000.0,12698.09,0,225000.0,50000.0,12698.09,16.666667,3.005337,56.350282,False,22.222222,5.643596,25.39618,5.643596,25.39618
2001,96,business_age,Existing,630620,92089,630620,166017233591.9,121030091572.80128,11430085303.17,7765399845.670001,2323,165823764592.9,11236616304.17,7504872948.650001,14.60293,14.515988,14.690304,True,6.884879,4.677466,67.938249,4.525813,66.789439
2001,96,business_age,New or early-stage,216909,36892,216909,44734119303.75,32813671619.905094,4617036345.0,3193589674.62,1065,44615062032.75,4497979074.0,3047556005.05,17.008054,16.85053,17.166746,True,10.321062,7.139047,69.169689,6.830778,67.753895
2001,96,business_age,Startup,83414,9706,83414,29155627930.0,21780160467.66,1936720700.0,1319149441.96,335,29084411830.0,1865504600.0,1238010616.66,11.635936,11.420097,11.855309,True,6.642699,4.52451,68.112529,4.256612,66.363311
