candidate_start_fy,horizon_months,dimension,segment,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent,total_gross_approval,total_chargeoff_loan_approval,total_gross_chargeoff_amount,total_sensitivity_gross_chargeoff_amount,gross_approval_share_percent,chargeoff_loan_approval_share_percent,gross_chargeoff_amount_share_percent,sensitivity_gross_chargeoff_amount_share_percent,financial_anomaly_share_shift_pp
2001,120,project_state,MN,23254,2849,23254,5322258162.99,3923076782.9455,519033908.17,317245672.11,90,5312496737.99,509272483.17,303961037.27,12.251656,11.836458,12.679323,True,9.752137,5.960734,61.12234,5.721623,59.685345,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.58082269623783,2.429296386279138,2.2400929038399395,2.2343493785993864,0.0057435252405531045
2001,120,project_state,LA,8134,1406,8134,1683217597.0,1266620756.564,202455681.0,129980224.92,25,1679335539.0,198573623.0,125357156.17,17.285468,16.479233,18.122589,True,12.027897,7.722128,64.201817,7.464688,63.128805,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.8162110976225231,0.9475775021501942,0.9177990594678731,0.9214723258844133,-0.0036732664165401996
2001,120,project_state,MO,16733,2753,16733,3662314509.0,2732040715.667,459575862.0,287278299.32,75,3651766309.0,449027662.0,274738640.88,16.452519,15.898479,17.021958,True,12.548782,7.844173,62.50944,7.523445,61.185237,206223316725.65,21365606564.17,14162165844.38,13604006615.14,1.775897394702547,2.151007791984273,2.028491280759865,2.0195421000034015,0.008949180756463448
2001,120,project_state,IN,16831,2598,16831,3849233513.57,2790324287.2915,422396959.0,269673908.67,88,3836160662.57,409324108.0,255464402.24,15.435803,14.897873,15.989507,True,10.973534,7.005912,63.843715,6.659377,62.411277,206223316725.65,21365606564.17,14162165844.38,13604006615.14,1.8665365171538013,1.9769949321652178,1.9041855012382534,1.8778614967423772,0.02632400449587613
2001,120,project_state,NC,15187,2645,15187,4208950315.0,3105445049.237,393790977.0,249573670.59,39,4203836715.0,388677377.0,243483913.26,17.416211,16.821306,18.027596,True,9.356038,5.929594,63.377194,5.791945,62.644221,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.0409672300050308,1.8431069383276262,1.7622563761251167,1.7897956105742037,-0.027539234449087013
2001,120,project_state,CO,20114,3505,20114,5485960682.0,4060885923.899,553313048.0,353170239.27,80,5477021582.0,544373948.0,341382220.81,17.425674,16.907684,17.956104,True,10.085983,6.43771,63.828287,6.23299,62.710977,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.6602038843639924,2.5897371382280476,2.4937586747026357,2.5094241017941963,-0.015665427091560602
2001,120,project_state,NH,10275,1208,10275,1027113372.0,679976485.77,111726980.0,72896572.95,79,1024632072.0,109245680.0,68461370.01,11.756691,11.148147,12.39382,True,10.877765,7.097228,65.245273,6.681556,62.667348,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.4980587977674825,0.5229291275416702,0.5147275759302571,0.5032441687716386,0.011483407158618508
2001,120,project_state,ND,3395,239,3395,651148049.0,466590653.5,38361175.0,21372431.6,7,650121349.0,37334475.0,20195076.16,7.039764,6.226926,7.949712,True,5.891314,3.282269,55.713704,3.106355,54.0923,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.3157489945068905,0.17954638865405054,0.15091216862483833,0.14844947324213112,0.002462695382707214
2001,120,project_state,IL,29299,6229,29299,6353146197.0,4621910450.009701,851106427.0,586299205.48,148,6329225897.0,827186127.0,557543090.76,21.260111,20.795403,21.732355,True,13.396613,9.228486,68.886709,8.809025,67.402374,206223316725.65,21365606564.17,14162165844.38,13604006615.14,3.0807118699637313,3.9835350540775223,4.139897893602639,4.098374152064188,0.04152374153845173
2001,120,project_state,MA,28235,3283,28235,3417389070.0,2269074104.65,320647998.0,218181402.76,179,3408904070.0,312162998.0,204090813.23,11.627413,11.258723,12.006543,True,9.382836,6.384447,68.0439,5.986992,65.379566,206223316725.65,21365606564.17,14162165844.38,13604006615.14,1.6571303013937735,1.5007671185789075,1.540593473890022,1.5002257717433467,0.04036770214667529
