comparison_type,factor,comparison_value,reference_category,scenario_value,eligible_loans,chargeoffs,pooled_risk_percent,pooled_ci95_low_percent,pooled_ci95_high_percent,vintage_standardized_risk_percent,mix_adjusted_risk_percent,adjusted_risk_difference_vs_reference_pp,adjusted_risk_difference_ci95_low_pp,adjusted_risk_difference_ci95_high_pp,vintages_passing_500_25,fdr_q_value
Adjusted curve point,Gross Approval,16000,113700,16000,,,,,,,5.93295769,-0.93081722,-1.21261824,-0.6490162,,
Adjusted curve point,Gross Approval,35000,113700,35000,,,,,,,5.32652633,-1.53724859,-1.78266872,-1.29182845,,
Adjusted curve point,Gross Approval,113700,113700,113700,,,,,,,6.86377491,0,0,0,,
Adjusted curve point,Gross Approval,350000,113700,350000,,,,,,,7.67473963,0.81096472,0.44019293,1.1817365,,
Adjusted curve point,Gross Approval,965000,113700,965000,,,,,,,8.23571511,1.3719402,0.87771989,1.86616051,,
Adjusted curve point,Original term,12,84,12,,,,,,,50.08344049,45.10085953,44.18771836,46.0140007,,
Adjusted curve point,Original term,60,84,60,,,,,,,17.87093151,12.88835055,12.40499789,13.37170322,,
Adjusted curve point,Original term,84,84,84,,,,,,,4.98258096,0,0,0,,
Adjusted curve point,Original term,120,84,120,,,,,,,1.28762603,-3.69495493,-3.88916813,-3.50074173,,
Adjusted curve point,Original term,180,84,180,,,,,,,2.16213578,-2.82044518,-3.12285043,-2.51803993,,
Adjusted curve point,Original term,240,84,240,,,,,,,4.68182504,-0.30075591,-0.6863555,0.08484367,,
Adjusted curve point,Guarantee percentage,50,75,50,,,,,,,5.19816099,-3.53144327,-5.04176229,-2.02112425,,
Adjusted curve point,Guarantee percentage,75,75,75,,,,,,,8.72960426,0,0,0,,
Adjusted curve point,Guarantee percentage,85,75,85,,,,,,,8.77998348,0.05037922,-0.39965094,0.50040937,,
Adjusted curve point,Initial interest rate,4.75,6,4.75,,,,,,,2.50429989,-4.71202486,-4.91799321,-4.5060565,,
Adjusted curve point,Initial interest rate,5.25,6,5.25,,,,,,,3.43958713,-3.77673762,-3.98325156,-3.57022367,,
Adjusted curve point,Initial interest rate,6,6,6,,,,,,,7.21632475,0,0,0,,
Adjusted curve point,Initial interest rate,6.9,6,6.9,,,,,,,8.83080298,1.61447823,1.34274654,1.88620991,,
Adjusted curve point,Initial interest rate,8.25,6,8.25,,,,,,,11.87314279,4.65681803,4.24197417,5.0716619,,
